id,id_charger,id_connector_type,in_use,output_voltage,output_current
a37015e7-9ec2-4577-8274-1c9cedb5f34f,61bf163e-83fa-45f0-84a9-ba47c2e3359e,f9cf50c3-4830-4bf9-bc8b-4fcf9589e169,0,0,0
24bd5a3c-92d1-4e6a-812d-2b507229930d,61bf163e-83fa-45f0-84a9-ba47c2e3359e,376107d4-df0e-4075-b722-ab952930189c,0,0,0
cb81c7f4-e0e6-46ad-acb4-b52ac5afa7a2,61bf163e-83fa-45f0-84a9-ba47c2e3359e,5192f1a5-4cdd-45b3-892f-e7e47dae4255,0,0,0
1d010790-8bf7-488e-ba60-b869790d90e9,61bf163e-83fa-45f0-84a9-ba47c2e3359e,0515c680-a1bb-4a8a-8e58-4a1e890b632f,0,0,0
73574c40-c30d-4c91-9149-85ded3521845,61bf163e-83fa-45f0-84a9-ba47c2e3359e,eda510df-627a-4f89-940c-aa31ac17d13d,0,0,0
1c8cede8-f5e5-41e4-a43a-0679902b4991,61bf163e-83fa-45f0-84a9-ba47c2e3359e,f3afdbdf-7145-43d3-a02b-341722984d69,0,0,0
e401b4dd-1ddb-459b-9af2-70f07b6068a0,5c0f30d7-8a28-4fa6-b56f-e397eaa40b82,f9cf50c3-4830-4bf9-bc8b-4fcf9589e169,0,0,0
a8bfc498-de98-4213-886a-9b3365558c19,5c0f30d7-8a28-4fa6-b56f-e397eaa40b82,376107d4-df0e-4075-b722-ab952930189c,0,0,0
6f2738b3-55d9-4e6c-b81c-316ae71694db,5c0f30d7-8a28-4fa6-b56f-e397eaa40b82,5192f1a5-4cdd-45b3-892f-e7e47dae4255,0,0,0
353d3a0e-6192-48ed-95ba-42bf3635c555,5c0f30d7-8a28-4fa6-b56f-e397eaa40b82,0515c680-a1bb-4a8a-8e58-4a1e890b632f,0,0,0
29af9fb8-8c6c-4c57-88e5-29e20cf49bfb,9e0fa02d-cfe7-4497-9682-7c700c2a165f,f9cf50c3-4830-4bf9-bc8b-4fcf9589e169,0,0,0
1e68540a-7005-49e8-a6ac-2c39e5a5c371,9e0fa02d-cfe7-4497-9682-7c700c2a165f,376107d4-df0e-4075-b722-ab952930189c,0,0,0
d65ea9f6-7011-48e4-84a0-94a274497b83,9e0fa02d-cfe7-4497-9682-7c700c2a165f,5192f1a5-4cdd-45b3-892f-e7e47dae4255,0,0,0
a4e2bee8-e2dc-4f57-92be-3fd767d7202b,9e0fa02d-cfe7-4497-9682-7c700c2a165f,0515c680-a1bb-4a8a-8e58-4a1e890b632f,0,0,0
48154b46-b28d-4a2d-a608-615e5c2a57c1,9e0fa02d-cfe7-4497-9682-7c700c2a165f,eda510df-627a-4f89-940c-aa31ac17d13d,0,0,0
